Item				Point Cost ((currently) 45 points available)
Endless Musket Pouch		Complimentary with any gun
Silver Bullet			1
Meteor Shot			2
Crystal Bullet			4
Cursed Bullet			3
Exploding Bullet		2
Ichor Bullet			3

Arrows				Costs are per 80 and can be scaled to half price for 40

Endless Quiver			Complimentary with any bow or repeater
Flaming Arrow			1
Frostburn Arrow			1
Unholy Arrow			2
Jester's Arrow			2
Hellfire Arrow			4
Holy Arrow			6
Cursed Arrow			8
Ichor Arrow			8

Darts				Costs are per 30

Cursed Dart			2
Poison Dart			2
Ichor Dart			2
Crystal Dart			3

Misc. Ammo

Seed				Free
Fallen Star			1 per stack of 10

Consumables
Life Crystals or Mana Stars	15 Free
Extra Life			1 per Life Crystal, Life Fruit, or Mana Crystal

Health and Mana Potions		Prices are per stack (30)

Mushrooms			Free
Bottled Water			1
Lesser Healing Potion		2
Bottled Honey			3
Lesser Restoration Potion	3
Healing Potion			3
Honeyfin			4
Greater Healing Potion		4
Lesser Mana Potion		1
Mana Potion			2
Greater Mana Potion		3
Super Mana Potion		4
Strange Brew			5 (Why would anyone get this?)

Buff Potions			Prices are per 5

Ammo Reservation Potion		4
Archery Potion			2
Endurance Potion		2
Inferno Potion			4
Ironskin Potion			2
Lifeforce Potion		4
Magic Power Potion		2
Mana Regeneration Potion	2
Rage Potion			3
Regeneration Potion		2
Swiftness Potion		2
Thorns Potion			3
Titan Potion			3
Wrath Potion			3

Armor

Wood Armor			1
Rich Mahogany Armor		1
Boreal Wood Armor		1
Palm Wood Armor			1
Ebonwood Armor			1
Shadewood Armor			1
Cactus Armor			1
Copper Armor			2
Tin Armor			2
Pumpkin Armor			2
Gladiator Armor			2
Iron Armor			3
Lead Armor			3
Silver Armor			4
Tungsten Armor			4
Gold Armor			5
Platinum Armor			5
Obsidian Armor			3
Jungle Armor			7
Ancient Cobalt Armor		7
Meteor Armor			7
Necro Armor			7
Shadow Armor			7
Ancient Shadow Armor		7
Crimson Armor			7
Molten Armor			9
Pearlwood Armor			1
Cobalt Hat Set			10
Cobalt Helmet Set		10
Cobalt Mask Set			10
Palladium Headgear Set		10
Palladium Helmet Set		10
Paladium Mask Set		10
Mythril Hood Set		11
Mythril Helmet Set		11
Mythril Hat Set			11
Orichalcum Headgear Set		12
Orichalcum Helmet Set		12
Orichalcum Mask Set		12
Adamantite Headgear Set		13
Adamantite Helmet Set		13
Adamantite Mask Set		13
Titanium Headgear Set		13
Titanium Helmet Set		13
Titanium Mask Set		13
Frost Armor			13

Magic Robes

Magic Hat			7
Wizard Hat			5
Amethyst Robe			1
Topaz Robe			2
Sapphire Robe			3
Emerald Robe			4
Ruby Robe			5
Diamond Robe			6
Gypsy Robe			3

Hooks: Pick 1

Grappling Hook
Amethyst Hook
Topaz Hook
Sapphire Hook
Emerald Hook
Ruby Hook
Diamond Hook
Web Slinger
Skeletron Hand
Slime Hook
Fish Hook
Ivy Whip
Dual Hook
Illuminant Hook
Worm Hook
Tendon Hook

Accessories: Pick 5

Aglet
Anklet of the Wind
Arctic Diving Gear
Balloon Pufferfish
Blizzard in a Balloon
Blue Horseshoe Ballon
Bundle of Balloons
Climbing Claws
Cloud in a Balloon
Cloud in a Bottle
Diving Gear
Fart in a Balloon
Fart in a Jar
Flipper
Flurry Boots
Flying Carpet
Frog Leg
Frostspark Boots
Green Horseshoe Balloon
Hermes Boots
Ice Skates
Jellyfish Diving Gear
Lava Charm
Lava Waders
Lightning Boots
Lucky Horseshoe
Obsidian Horseshoe
Obsidian Water Walking Boots
Pink Horseshoe Balloon
Rocket Boots
Sailfish Boots
Sandstorm in a Bottle
Sharkron Balloon
Shiny Red Balloon
Shoe Spikes
Spectre Boots
Tiger Climbing Gear
Tsunami in a Bottle
Water Waling Boots
White Horseshoe Balloon
Yellow Horseshoe Balloon
Angel Wings
Demon Wings
Fin Wings
Bee Wings
Butterfly Wings
Fairy Wings
Harpy Wings
Leaf Wings
Ice Wings
Band of Regeneration
Band of Starpower
Celestial Cuffs
Celestial Magnet
Celestial Emblem
Charm of Myths
Magic Cuffs
Mana Flower
Mana Regeneration Band
Nature's Gift
Philosopher's Stone
Ankh Shield
Moon Charm
Cross Necklace
Feral Claws
Flesh Knuckles
Frozen Turtle Shell
Magic Quiver
Magma Stone
Obsidian Rose
Obsidian Skull
Panic Necklace
Pocket Mirror
Power Glove
Putrid Scent
Ranger Emblem
Shackle
Shark Tooth Necklace
Sorcerer Emblem
Star Cloak
Star Veil
Titan Glove
Warrior Emblem
Yoyo Bag
Shield of Cthulhu
Worm Scarf
